"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.psi","r","case","sp"
"mu.psi",-1.047,-1.217,-0.907,1.828,0,"-0.5","0","1","allall","ms"
"sigma.psi.sp",0.849,0.704,1.015,1.015,0.5,"-0.5","0","1","allall","ms"
"mu.psi.yr",-0.001,-0.061,0.061,1.028,0,"-0.5","0","1","allall","ms"
"sigma.psi.yr",0.191,0.141,0.253,0.998,0.2,"-0.5","0","1","allall","ms"
"mu.p",-1.757,-2.161,-1.363,3.255,-0.5,"-0.5","0","1","allall","ms"
"sigma.p.sp",2.389,2.015,2.86,1.015,NA,"-0.5","0","1","allall","ms"
"p.yr",-0.45,-0.676,-0.297,1.1,-0.5,"-0.5","0","1","allall","ms"
"sigma.p.site",2.588,2.511,2.666,1.009,1.5,"-0.5","0","1","allall","ms"
"per_chage_bci",-0.0851826385260415,-4.38685425499752,4.50851563306548,NA,0,"-0.5","0","1","allall","ms"
"mu.psi",-0.932,-1.09,-0.811,1.624,0,"-1","0","1","allall","ms"
"sigma.psi.sp",0.943,0.793,1.136,1.004,0.5,"-1","0","1","allall","ms"
"mu.psi.yr",-0.107,-0.169,-0.05,1.001,0,"-1","0","1","allall","ms"
"sigma.psi.yr",0.181,0.128,0.243,1.014,0.2,"-1","0","1","allall","ms"
"mu.p",-1.523,-1.65,-1.301,1.624,-0.5,"-1","0","1","allall","ms"
"sigma.p.sp",2.298,1.94,2.781,1.006,NA,"-1","0","1","allall","ms"
"p.yr",-0.847,-1.03,-0.669,1.244,-1,"-1","0","1","allall","ms"
"sigma.p.site",2.561,2.482,2.622,1.008,1.5,"-1","0","1","allall","ms"
"per_chage_bci",-7.48201901677761,-11.4371068152055,-3.53681957092138,NA,0,"-1","0","1","allall","ms"
"mu.psi",-1.025,-1.335,-0.786,3.584,0,"0","0","1","allall","ms"
"sigma.psi.sp",0.963,0.807,1.145,1.04,0.5,"0","0","1","allall","ms"
"mu.psi.yr",-0.049,-0.105,0,1.016,0,"0","0","1","allall","ms"
