"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.psi","r","case","sp"
"mu.psi",-0.83,-1.095,-0.306,2.734,0,"-1","0","1","allall","ms"
"sigma.psi.sp",0.977,0.796,1.265,1.368,0.5,"-1","0","1","allall","ms"
"mu.psi.yr",-0.827,-0.89,-0.764,1.046,-1,"-1","0","1","allall","ms"
"sigma.psi.yr",0.185,0.133,0.239,1.067,0.2,"-1","0","1","allall","ms"
"mu.p",-1.235,-1.836,-0.521,4.525,-0.5,"-1","0","1","allall","ms"
"sigma.p.sp",2.42,2.011,2.933,1.168,NA,"-1","0","1","allall","ms"
"p.yr",-0.465,-0.62,-0.303,1.102,-0.5,"-1","0","1","allall","ms"
"sigma.p.site",2.632,2.552,2.708,1.008,1.5,"-1","0","1","allall","ms"
"per_chage_bci",-47.0978105343743,-50.4208275930037,-42.4995700884114,NA,-46.211715726001,"-1","0","1","allall","ms"
"mu.psi",-1.119,-1.367,-0.908,1.594,0,"0.5","0","1","allall","ms"
"sigma.psi.sp",0.948,0.785,1.133,1.031,0.5,"0.5","0","1","allall","ms"
"mu.psi.yr",0.21,0.147,0.267,0.999,0.5,"0.5","0","1","allall","ms"
"sigma.psi.yr",0.183,0.133,0.24,1.031,0.2,"0.5","0","1","allall","ms"
"mu.p",-1.215,-1.672,-0.668,4.447,-0.5,"0.5","0","1","allall","ms"
"sigma.p.sp",2.471,2.09,2.942,1.054,NA,"0.5","0","1","allall","ms"
"p.yr",-0.484,-0.651,-0.194,1.202,-0.5,"0.5","0","1","allall","ms"
"sigma.p.site",2.585,2.516,2.656,0.999,1.5,"0.5","0","1","allall","ms"
"per_chage_bci",16.647170127155,11.3816758695904,22.1899938696156,NA,24.4918662403709,"0.5","0","1","allall","ms"
"mu.psi",-1.219,-1.458,-1,4.677,0,"1","0","1","allall","ms"
"sigma.psi.sp",0.829,0.688,0.968,1.071,0.5,"1","0","1","allall","ms"
"mu.psi.yr",0.614,0.536,0.702,1.02,1,"1","0","1","allall","ms"
"sigma.psi.yr",0.323,0.261,0.4,1.029,0.2,"1","0","1","allall","ms"
"mu.p",-1.308,-1.847,-0.714,7.098,-0.5,"1","0","1","allall","ms"
"sigma.p.sp",2.448,2.058,3.022,1.17,NA,"1","0","1","allall","ms"
"p.yr",-0.375,-0.5,-0.24,1.528,-0.5,"1","0","1","allall","ms"
"sigma.p.site",2.489,2.428,2.548,1.016,1.5,"1","0","1","allall","ms"
"per_chage_bci",54.7938586926498,44.887879776972,65.6868756849543,NA,46.211715726001,"1","0","1","allall","ms"
"mu.psi",-0.916,-1.157,-0.751,1.305,0,"-1","0","10","allall","ms"
"sigma.psi.sp",0.886,0.74,1.076,1.017,0.5,"-1","0","10","allall","ms"
"mu.psi.yr",-0.748,-0.806,-0.692,1.033,-1,"-1","0","10","allall","ms"
"sigma.psi.yr",0.157,0.111,0.219,1.023,0.2,"-1","0","10","allall","ms"
"mu.p",-1.834,-2.176,-1.226,2.006,-0.5,"-1","0","10","allall","ms"
"sigma.p.sp",2.413,2.014,2.933,1.011,NA,"-1","0","10","allall","ms"
"p.yr",-0.526,-0.702,-0.326,1.354,-0.5,"-1","0","10","allall","ms"
"sigma.p.site",2.64,2.568,2.716,1.004,1.5,"-1","0","10","allall","ms"
"per_chage_bci",-44.2161601042013,-47.3260545378574,-41.5135783392828,NA,-46.211715726001,"-1","0","10","allall","ms"
"mu.psi",-1.055,-1.224,-0.887,1.749,0,"0","0","10","allall","ms"
"sigma.psi.sp",0.934,0.77,1.135,1.004,0.5,"0","0","10","allall","ms"
"mu.psi.yr",-0.064,-0.112,-0.019,1.005,0,"0","0","10","allall","ms"
"sigma.psi.yr",0.125,0.07,0.184,1.029,0.2,"0","0","10","allall","ms"
"mu.p",-1.31,-1.788,-0.601,4.187,-0.5,"0","0","10","allall","ms"
"sigma.p.sp",2.22,1.811,2.678,1.042,NA,"0","0","10","allall","ms"
"p.yr",-0.483,-0.622,-0.347,1.147,-0.5,"0","0","10","allall","ms"
"sigma.p.site",2.325,2.264,2.386,1,1.5,"0","0","10","allall","ms"
"per_chage_bci",-4.67946288024757,-7.99497223152392,-1.369280908667,NA,0,"0","0","10","allall","ms"
