"sp.names","mean","actua.val","p.yr","mu.psi","r","case","sp","var.names"
"psi.yr[1]",-0.254,-0.273444204271784,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[2]",0.062,0.582450384811829,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[3]",-0.162,-0.167521303324224,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[4]",0.055,-0.0343910557274752,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[5]",-0.181,-0.0886191396492549,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[6]",-0.075,-0.0321741704824294,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[7]",-0.091,-0.278078034231406,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[8]",0.016,0.24678647274188,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[9]",0.333,0.37666405799223,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[10]",-0.219,0.14095693622251,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[11]",0.007,0.36971156516091,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[12]",-0.063,0.0565994961748493,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[13]",0.047,-0.0897823669061401,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[14]",-0.236,-0.188540808559175,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[15]",0.084,0.203985801158052,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[16]",-0.18,-0.234115604602931,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[17]",-0.141,-0.177603202757788,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[18]",0.104,0.0353518265808089,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[19]",0.379,0.603765557917685,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[20]",0.084,0.00777618657680143,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[21]",-0.051,-0.152904770035846,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[22]",-0.182,-0.103698948846462,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[23]",-0.257,-0.0897117762836299,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[24]",-0.29,-0.0495691495863,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[25]",0.111,0.234880874266232,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[26]",0.276,0.191950639469764,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[27]",-0.152,-0.220939409718877,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[28]",0.267,0.200778392312115,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[29]",-0.082,0.244962080143512,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[30]",-0.189,-0.0533261616468936,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[31]",0.156,0.404368122166483,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[32]",-0.039,0.112244677620891,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[33]",0.036,-0.0389320656056348,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[34]",0.022,0.106896022477452,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[35]",0.039,-0.359877152383398,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[36]",0.124,0.166537640278496,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[37]",0.006,0.0638691811401212,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[38]",-0.183,-0.256082318961507,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[39]",0.039,0.280517214627527,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[40]",-0.228,-0.375847059177078,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[41]",0.063,0.296981752375816,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[42]",0.092,0.104371597883416,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[43]",-0.058,-0.191165530442752,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[44]",0.157,0.0577125054915071,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[45]",-0.116,-0.16292952593157,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[46]",0.041,-0.212329734910688,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[47]",-0.077,-0.139784267142617,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[48]",-0.007,0.0179540459912725,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[49]",0.012,0.259282269655313,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[50]",0.216,0.213894228997167,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[51]",-0.071,0.0234274821216757,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[52]",0.241,0.238461344438882,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[53]",-0.163,0.157560373919417,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[54]",0.071,-0.133842967241395,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[55]",0.076,-0.0225356556435004,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[56]",0.11,0.320721362331722,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[57]",-0.081,0.0999460444681504,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[58]",0.093,0.244087458767505,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[59]",-0.024,-0.200470275784651,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[60]",0.159,0.439355375781688,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[61]",0.115,0.214554082264912,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[62]",-0.075,-0.185143690701404,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[63]",-0.029,0.0218987235611823,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[64]",0.049,0.0401301932409085,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[65]",0.029,-0.147922763953631,"-0.5","0","1","allall","ms","psi.yr"
"psi.yr[66]",0.102,-0.0333137320396252,"-0.5","0","1","allall","ms","psi.yr"
"psi.sp[1]",-2.008,-0.889710273933707,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[2]",-1.047,0.460824135691627,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[3]",-1.065,-0.833930895018652,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[4]",1.372,0.696416592931947,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[5]",-0.631,-0.379807010008105,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[6]",-0.678,0.151293170979807,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[7]",-0.123,-0.940114603267329,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[8]",-0.32,-0.310051253791214,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[9]",0.572,-0.0437491458006971,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[10]",-1.045,-0.225837317594506,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[11]",-0.572,1.10528724358856,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[12]",0.067,-0.490662491753028,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[13]",0.697,0.309412277230042,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[14]",0.427,0.478318624593924,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[15]",0.044,0.489714164342648,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[16]",-1.08,-0.241518451715478,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[17]",-0.291,0.0660727682537309,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[18]",-0.342,0.35602864281756,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[19]",1.228,0.247076010613438,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[20]",0.391,-0.0556690403095545,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[21]",-0.8,-0.0742044880214442,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[22]",0.615,0.092862887930519,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[23]",-0.325,0.206544286781611,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[24]",0.041,0.460890210604738,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[25]",0.114,-0.412167972655939,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[26]",1.193,0.0902766316262429,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[27]",0.936,-0.08232077840849,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[28]",0.98,0.572347240824712,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[29]",-0.224,0.14608190403973,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[30]",-2.125,-0.640410365577964,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[31]",-0.867,-0.0304366910328774,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[32]",-0.515,-0.575979558389715,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[33]",0.259,-0.413322053285678,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[34]",-1.352,0.080959354290612,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[35]",-0.898,0.494122624291758,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[36]",0.284,-0.67638134009068,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[37]",-1.521,-0.267177914495373,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[38]",0.833,0.672654704102884,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[39]",-0.261,-0.330113841965945,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[40]",0.296,-0.470566299597869,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[41]",-0.48,-0.0848795972100066,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[42]",0.093,0.319700467234834,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[43]",-0.719,-0.260656126662259,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[44]",0.921,-0.0147945130782898,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[45]",-0.043,0.648236495423118,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[46]",0.336,0.145183872067858,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[47]",0.71,-0.188873612133437,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[48]",0.375,-0.295744532975971,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[49]",0.395,0.574104348179881,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[50]",0.71,0.124577012362493,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[51]",-0.923,-0.26244340203117,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[52]",0.139,-0.718367750970824,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[53]",-0.808,0.591310445346752,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[54]",-0.547,-1.01724144593118,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[55]",0.663,-0.0134314944519849,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[56]",1.368,0.378643486135516,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[57]",-0.261,0.172143226431588,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[58]",-0.349,-0.116192940755493,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[59]",-0.347,-1.09275720664858,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[60]",-0.106,0.00891071497941517,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[61]",-0.801,-0.83049207691758,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[62]",-2.053,0.507634147022456,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[63]",0.604,0.434643867599049,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[64]",0.188,0.471693318448745,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[65]",-1.304,-0.358690452869032,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[66]",0.254,-0.257377294397466,"-0.5","0","1","allall","ms","psi.sp"
"psi.sp[1]",-19.700791929291,-18.2282230037814,"-0.5","0","1","allall","ms","per_change"
"psi.sp[2]",4.97347323495225,20.5919237599766,"-0.5","0","1","allall","ms","per_change"
"psi.sp[3]",-11.2554319315087,-11.2803523073827,"-0.5","0","1","allall","ms","per_change"
"psi.sp[4]",1.10396546307062,-1.15038039884514,"-0.5","0","1","allall","ms","per_change"
"psi.sp[5]",-11.2643052855168,-5.21565960621335,"-0.5","0","1","allall","ms","per_change"
"psi.sp[6]",-4.71961388304436,-1.4889268495961,"-0.5","0","1","allall","ms","per_change"
"psi.sp[7]",-4.69486185988646,-18.7350649338482,"-0.5","0","1","allall","ms","per_change"
"psi.sp[8]",1.04519500530744,14.4378463035169,"-0.5","0","1","allall","ms","per_change"
"psi.sp[9]",11.4854217691402,19.0985035239715,"-0.5","0","1","allall","ms","per_change"
"psi.sp[10]",-15.0624509909782,7.88977982969463,"-0.5","0","1","allall","ms","per_change"
"psi.sp[11]",0.604043418484018,8.32832902899333,"-0.5","0","1","allall","ms","per_change"
"psi.sp[12]",-2.93938256959756,3.5337647181633,"-0.5","0","1","allall","ms","per_change"
"psi.sp[13]",1.62493750981062,-3.82389084218477,"-0.5","0","1","allall","ms","per_change"
"psi.sp[14]",-9.45916493578723,-7.35546610301554,"-0.5","0","1","allall","ms","per_change"
"psi.sp[15]",4.18168606331528,7.53991198420427,"-0.5","0","1","allall","ms","per_change"
"psi.sp[16]",-12.5819607881679,-12.8727005239419,"-0.5","0","1","allall","ms","per_change"
"psi.sp[17]",-7.87464063935177,-8.58952187549673,"-0.5","0","1","allall","ms","per_change"
"psi.sp[18]",6.20254408612343,1.4515459762668,"-0.5","0","1","allall","ms","per_change"
"psi.sp[19]",7.732744247808,24.8081427247063,"-0.5","0","1","allall","ms","per_change"
