"sp.names","mean","actua.val","mu.psi.yr","mu.psi","r","case","sp","var.names"
"psi.yr[1]",-0.946,-0.893700761473486,"-1","0","1","allall","ms","psi.yr"
"psi.yr[2]",-0.893,-1.30367881635736,"-1","0","1","allall","ms","psi.yr"
"psi.yr[3]",-1.03,-0.938688427842047,"-1","0","1","allall","ms","psi.yr"
"psi.yr[4]",-0.866,-1.30728996470752,"-1","0","1","allall","ms","psi.yr"
"psi.yr[5]",-0.76,-1.06019522536732,"-1","0","1","allall","ms","psi.yr"
"psi.yr[6]",-0.954,-1.105655980889,"-1","0","1","allall","ms","psi.yr"
"psi.yr[7]",-0.98,-1.1304189561362,"-1","0","1","allall","ms","psi.yr"
"psi.yr[8]",-0.763,-1.01137935556948,"-1","0","1","allall","ms","psi.yr"
"psi.yr[9]",-0.829,-1.382871885136,"-1","0","1","allall","ms","psi.yr"
"psi.yr[10]",-0.621,-0.764683337596287,"-1","0","1","allall","ms","psi.yr"
"psi.yr[11]",-0.756,-1.3329944872424,"-1","0","1","allall","ms","psi.yr"
"psi.yr[12]",-0.813,-1.09270608029448,"-1","0","1","allall","ms","psi.yr"
"psi.yr[13]",-0.915,-1.22318402100857,"-1","0","1","allall","ms","psi.yr"
"psi.yr[14]",-1.043,-1.15016380023869,"-1","0","1","allall","ms","psi.yr"
"psi.yr[15]",-0.577,-0.582566690874331,"-1","0","1","allall","ms","psi.yr"
"psi.yr[16]",-0.805,-0.99652087606135,"-1","0","1","allall","ms","psi.yr"
"psi.yr[17]",-1.045,-1.25726010608687,"-1","0","1","allall","ms","psi.yr"
"psi.yr[18]",-0.848,-1.32812110688372,"-1","0","1","allall","ms","psi.yr"
"psi.yr[19]",-0.678,-0.909962579745469,"-1","0","1","allall","ms","psi.yr"
"psi.yr[20]",-0.767,-1.00371196654293,"-1","0","1","allall","ms","psi.yr"
"psi.yr[21]",-0.802,-1.06361367490877,"-1","0","1","allall","ms","psi.yr"
"psi.yr[22]",-1.01,-1.18587242949074,"-1","0","1","allall","ms","psi.yr"
"psi.yr[23]",-1.033,-1.2974920620283,"-1","0","1","allall","ms","psi.yr"
"psi.yr[24]",-0.87,-1.21503845932314,"-1","0","1","allall","ms","psi.yr"
"psi.yr[25]",-0.708,-0.799994239257217,"-1","0","1","allall","ms","psi.yr"
"psi.yr[26]",-1.012,-1.12425333895936,"-1","0","1","allall","ms","psi.yr"
"psi.yr[27]",-1.095,-1.2768853694769,"-1","0","1","allall","ms","psi.yr"
"psi.yr[28]",-0.773,-0.626141875515284,"-1","0","1","allall","ms","psi.yr"
"psi.yr[29]",-0.806,-0.91497992452551,"-1","0","1","allall","ms","psi.yr"
"psi.yr[30]",-0.902,-1.04772942018261,"-1","0","1","allall","ms","psi.yr"
"psi.yr[31]",-0.624,-0.788303390258196,"-1","0","1","allall","ms","psi.yr"
"psi.yr[32]",-0.646,-0.822715469725013,"-1","0","1","allall","ms","psi.yr"
"psi.yr[33]",-0.976,-1.12384860964623,"-1","0","1","allall","ms","psi.yr"
"psi.yr[34]",-0.631,-0.558779507091906,"-1","0","1","allall","ms","psi.yr"
"psi.yr[35]",-0.812,-1.0510054060282,"-1","0","1","allall","ms","psi.yr"
"psi.yr[36]",-0.909,-1.28489893004256,"-1","0","1","allall","ms","psi.yr"
"psi.yr[37]",-0.741,-1.02887992039084,"-1","0","1","allall","ms","psi.yr"
"psi.yr[38]",-0.824,-0.958492332153531,"-1","0","1","allall","ms","psi.yr"
"psi.yr[39]",-0.465,-0.538404320188128,"-1","0","1","allall","ms","psi.yr"
"psi.yr[40]",-0.881,-0.978839526421258,"-1","0","1","allall","ms","psi.yr"
"psi.yr[41]",-0.746,-0.908600238915317,"-1","0","1","allall","ms","psi.yr"
"psi.yr[42]",-0.717,-1.01543058707131,"-1","0","1","allall","ms","psi.yr"
"psi.yr[43]",-0.88,-1.06680016847331,"-1","0","1","allall","ms","psi.yr"
"psi.yr[44]",-0.937,-1.00694520566226,"-1","0","1","allall","ms","psi.yr"
"psi.yr[45]",-0.856,-0.842472078873968,"-1","0","1","allall","ms","psi.yr"
"psi.yr[46]",-0.622,-0.584950998269543,"-1","0","1","allall","ms","psi.yr"
"psi.yr[47]",-0.749,-0.794521512247246,"-1","0","1","allall","ms","psi.yr"
"psi.yr[48]",-0.763,-0.758418320322659,"-1","0","1","allall","ms","psi.yr"
"psi.yr[49]",-0.969,-1.24626468431161,"-1","0","1","allall","ms","psi.yr"
"psi.yr[50]",-0.727,-0.803220885989324,"-1","0","1","allall","ms","psi.yr"
"psi.yr[51]",-0.833,-0.95601503926787,"-1","0","1","allall","ms","psi.yr"
"psi.yr[52]",-1.004,-1.29345000581845,"-1","0","1","allall","ms","psi.yr"
"psi.yr[53]",-0.569,-0.895795451470372,"-1","0","1","allall","ms","psi.yr"
"psi.yr[54]",-0.868,-1.0317509209432,"-1","0","1","allall","ms","psi.yr"
"psi.yr[55]",-0.637,-0.70708253760604,"-1","0","1","allall","ms","psi.yr"
"psi.yr[56]",-0.863,-1.15321639992093,"-1","0","1","allall","ms","psi.yr"
"psi.yr[57]",-0.938,-1.08604235078571,"-1","0","1","allall","ms","psi.yr"
"psi.yr[58]",-0.964,-1.18522189947549,"-1","0","1","allall","ms","psi.yr"
"psi.yr[59]",-0.869,-1.03542079228731,"-1","0","1","allall","ms","psi.yr"
"psi.yr[60]",-0.831,-0.919597644102732,"-1","0","1","allall","ms","psi.yr"
"psi.yr[61]",-0.654,-1.14634963462392,"-1","0","1","allall","ms","psi.yr"
"psi.yr[62]",-0.71,-0.833925366403665,"-1","0","1","allall","ms","psi.yr"
"psi.yr[63]",-0.947,-1.24161655726089,"-1","0","1","allall","ms","psi.yr"
"psi.yr[64]",-0.858,-1.20959688256155,"-1","0","1","allall","ms","psi.yr"
"psi.yr[65]",-0.814,-0.711768458631144,"-1","0","1","allall","ms","psi.yr"
"psi.yr[66]",-0.931,-1.20316949306093,"-1","0","1","allall","ms","psi.yr"
"psi.sp[1]",-1.999,-0.313226905371166,"-1","0","1","allall","ms","psi.sp"
"psi.sp[2]",-1.458,0.0918216621110411,"-1","0","1","allall","ms","psi.sp"
"psi.sp[3]",-1.006,-0.417814306205024,"-1","0","1","allall","ms","psi.sp"
"psi.sp[4]",0.71,0.797640401068896,"-1","0","1","allall","ms","psi.sp"
"psi.sp[5]",-0.519,0.16475388590768,"-1","0","1","allall","ms","psi.sp"
"psi.sp[6]",-1.164,-0.410234192059008,"-1","0","1","allall","ms","psi.sp"
"psi.sp[7]",0.742,0.243714526214243,"-1","0","1","allall","ms","psi.sp"
"psi.sp[8]",-0.29,0.369162352564609,"-1","0","1","allall","ms","psi.sp"
"psi.sp[9]",0.746,0.287890675826746,"-1","0","1","allall","ms","psi.sp"
"psi.sp[10]",-1.088,-0.152694193578178,"-1","0","1","allall","ms","psi.sp"
"psi.sp[11]",-0.961,0.755890584225424,"-1","0","1","allall","ms","psi.sp"
"psi.sp[12]",0.287,0.194921618205716,"-1","0","1","allall","ms","psi.sp"
"psi.sp[13]",-0.257,-0.310620290270902,"-1","0","1","allall","ms","psi.sp"
"psi.sp[14]",-1.187,-1.10734994358875,"-1","0","1","allall","ms","psi.sp"
"psi.sp[15]",-0.182,0.562465459071554,"-1","0","1","allall","ms","psi.sp"
"psi.sp[16]",-1.261,-0.0224668045076154,"-1","0","1","allall","ms","psi.sp"
"psi.sp[17]",-0.37,-0.00809513154947304,"-1","0","1","allall","ms","psi.sp"
"psi.sp[18]",-0.539,0.47191810534265,"-1","0","1","allall","ms","psi.sp"
"psi.sp[19]",0.967,0.410610597549044,"-1","0","1","allall","ms","psi.sp"
"psi.sp[20]",0.602,0.296950660608754,"-1","0","1","allall","ms","psi.sp"
"psi.sp[21]",-0.579,0.459488685804109,"-1","0","1","allall","ms","psi.sp"
"psi.sp[22]",0.77,0.391068150365533,"-1","0","1","allall","ms","psi.sp"
"psi.sp[23]",-0.467,0.0372824916825953,"-1","0","1","allall","ms","psi.sp"
"psi.sp[24]",-1.23,-0.994675847931686,"-1","0","1","allall","ms","psi.sp"
"psi.sp[25]",0.519,0.309912873947355,"-1","0","1","allall","ms","psi.sp"
"psi.sp[26]",0.469,-0.0280643697645004,"-1","0","1","allall","ms","psi.sp"
"psi.sp[27]",0.404,-0.0778977533526646,"-1","0","1","allall","ms","psi.sp"
"psi.sp[28]",-0.465,-0.735376191949637,"-1","0","1","allall","ms","psi.sp"
"psi.sp[29]",-0.367,-0.23907502755431,"-1","0","1","allall","ms","psi.sp"
"psi.sp[30]",-2.306,0.208970780099851,"-1","0","1","allall","ms","psi.sp"
"psi.sp[31]",-0.489,0.679339775764522,"-1","0","1","allall","ms","psi.sp"
"psi.sp[32]",-0.342,-0.0513938636714978,"-1","0","1","allall","ms","psi.sp"
"psi.sp[33]",0.477,0.193835805779685,"-1","0","1","allall","ms","psi.sp"
"psi.sp[34]",-1.553,-0.0269025202914526,"-1","0","1","allall","ms","psi.sp"
"psi.sp[35]",-1.711,-0.688529778414303,"-1","0","1","allall","ms","psi.sp"
"psi.sp[36]",0.269,-0.20749728164984,"-1","0","1","allall","ms","psi.sp"
"psi.sp[37]",-1.364,-0.197144976855175,"-1","0","1","allall","ms","psi.sp"
"psi.sp[38]",0.165,-0.0296566983555928,"-1","0","1","allall","ms","psi.sp"
"psi.sp[39]",-0.114,0.550012685991941,"-1","0","1","allall","ms","psi.sp"
"psi.sp[40]",1.177,0.381587874228772,"-1","0","1","allall","ms","psi.sp"
"psi.sp[41]",-0.502,-0.0822617981267934,"-1","0","1","allall","ms","psi.sp"
"psi.sp[42]",-0.445,-0.126680840068254,"-1","0","1","allall","ms","psi.sp"
"psi.sp[43]",-0.553,0.348481687702369,"-1","0","1","allall","ms","psi.sp"
"psi.sp[44]",0.77,0.278331599336829,"-1","0","1","allall","ms","psi.sp"
"psi.sp[45]",-0.822,-0.34437784727476,"-1","0","1","allall","ms","psi.sp"
"psi.sp[46]",-0.082,-0.35374757848106,"-1","0","1","allall","ms","psi.sp"
"psi.sp[47]",0.497,0.182290981068415,"-1","0","1","allall","ms","psi.sp"
"psi.sp[48]",1.035,0.384266462257708,"-1","0","1","allall","ms","psi.sp"
"psi.sp[49]",-0.295,-0.056173106075114,"-1","0","1","allall","ms","psi.sp"
"psi.sp[50]",0.99,0.440553863227107,"-1","0","1","allall","ms","psi.sp"
"psi.sp[51]",-1.278,0.199052940183534,"-1","0","1","allall","ms","psi.sp"
"psi.sp[52]",0.299,-0.306013196625386,"-1","0","1","allall","ms","psi.sp"
"psi.sp[53]",-1.076,0.170559845712212,"-1","0","1","allall","ms","psi.sp"
"psi.sp[54]",-0.028,-0.564681548040396,"-1","0","1","allall","ms","psi.sp"
"psi.sp[55]",1.299,0.716511850850519,"-1","0","1","allall","ms","psi.sp"
"psi.sp[56]",1.448,0.99019994925293,"-1","0","1","allall","ms","psi.sp"
