"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.v.yr","r","case","sp"
"mu.psi",0.392,0.246,0.603,1.583,0,"-0.5","-0.5","1","all","ms"
"sigma.psi.sp",0.607,0.487,0.747,1.003,0.5,"-0.5","-0.5","1","all","ms"
"mu.psi.yr",0.244,0.093,0.392,1.02,0,"-0.5","-0.5","1","all","ms"
"sigma.psi.yr",0.313,0.225,0.419,1.001,0.2,"-0.5","-0.5","1","all","ms"
"mu.p",-2.098,-2.22,-2.005,1.173,-0.5,"-0.5","-0.5","1","all","ms"
"sigma.p.sp",0.248,0.187,0.305,1.033,NA,"-0.5","-0.5","1","all","ms"
"p.yr",-0.974,-1.096,-0.862,1.02,-0.5,"-0.5","-0.5","1","all","ms"
"sigma.p.site",1.516,1.463,1.57,1.032,1.5,"-0.5","-0.5","1","all","ms"
"per_chage_bci",9.53915408429961,3.76552998444785,15.1673414623768,NA,0,"-0.5","-0.5","1","all","ms"
"mu.psi",0.507,0.387,0.65,1.072,0,"-0.5","0","1","all","ms"
"sigma.psi.sp",0.679,0.539,0.855,1.03,0.5,"-0.5","0","1","all","ms"
"mu.psi.yr",0.072,-0.052,0.185,1.013,0,"-0.5","0","1","all","ms"
"sigma.psi.yr",0.36,0.236,0.483,1.006,0.2,"-0.5","0","1","all","ms"
"mu.p",-2.164,-2.288,-2.03,1.445,-0.5,"-0.5","0","1","all","ms"
"sigma.p.sp",0.337,0.282,0.416,1.014,NA,"-0.5","0","1","all","ms"
"p.yr",-0.387,-0.5,-0.262,1.125,-0.5,"-0.5","0","1","all","ms"
"sigma.p.site",1.487,1.441,1.539,1.046,1.5,"-0.5","0","1","all","ms"
"per_chage_bci",2.66863209120798,-1.9075488006558,6.91237722025729,NA,0,"-0.5","0","1","all","ms"
"mu.psi",0.347,0.26,0.451,1.019,0,"-1","-0.5","1","all","ms"
"sigma.psi.sp",0.592,0.486,0.726,0.996,0.5,"-1","-0.5","1","all","ms"
"mu.psi.yr",0.11,-0.035,0.263,1.04,0,"-1","-0.5","1","all","ms"
"sigma.psi.yr",0.383,0.268,0.502,1.02,0.2,"-1","-0.5","1","all","ms"
"mu.p",-2.137,-2.273,-2.015,1.176,-0.5,"-1","-0.5","1","all","ms"
"sigma.p.sp",0.38,0.305,0.463,1.019,NA,"-1","-0.5","1","all","ms"
"p.yr",-1.227,-1.356,-1.093,1.027,-1,"-1","-0.5","1","all","ms"
"sigma.p.site",1.582,1.533,1.645,1.008,1.5,"-1","-0.5","1","all","ms"
"per_chage_bci",4.50343342621205,-1.4284223021547,10.8708547099823,NA,0,"-1","-0.5","1","all","ms"
"mu.psi",0.592,0.442,0.732,1.106,0,"-1","0","1","all","ms"
"sigma.psi.sp",0.568,0.469,0.7,1.005,0.5,"-1","0","1","all","ms"
"mu.psi.yr",-0.087,-0.184,0.02,1.062,0,"-1","0","1","all","ms"
"sigma.psi.yr",0.171,0.065,0.289,1.173,0.2,"-1","0","1","all","ms"
"mu.p",-2.2,-2.328,-2.105,1.12,-0.5,"-1","0","1","all","ms"
"sigma.p.sp",0.275,0.226,0.337,1.014,NA,"-1","0","1","all","ms"
"p.yr",-0.643,-0.759,-0.53,1.029,-1,"-1","0","1","all","ms"
"sigma.p.site",1.597,1.542,1.654,1.011,1.5,"-1","0","1","all","ms"
"per_chage_bci",-3.09186238751805,-6.44284556024763,0.728457626822279,NA,0,"-1","0","1","all","ms"
"mu.psi",0.489,0.347,0.639,1.689,0,"0","-0.5","1","all","ms"
"sigma.psi.sp",0.754,0.621,0.923,1.017,0.5,"0","-0.5","1","all","ms"
"mu.psi.yr",0.221,0.097,0.349,1.008,0,"0","-0.5","1","all","ms"
"sigma.psi.yr",0.28,0.176,0.4,1.002,0.2,"0","-0.5","1","all","ms"
"mu.p",-2.233,-2.337,-2.157,1.081,-0.5,"0","-0.5","1","all","ms"
"sigma.p.sp",0.308,0.249,0.376,1.005,NA,"0","-0.5","1","all","ms"
"p.yr",-0.572,-0.687,-0.458,1.185,0,"0","-0.5","1","all","ms"
"sigma.p.site",1.585,1.533,1.637,1.002,1.5,"0","-0.5","1","all","ms"
"per_chage_bci",8.12470110566477,3.60507718794383,12.3456432920783,NA,0,"0","-0.5","1","all","ms"
"mu.psi",0.547,0.454,0.653,1.172,0,"0","0","1","all","ms"
"sigma.psi.sp",0.581,0.482,0.711,1.001,0.5,"0","0","1","all","ms"
"mu.psi.yr",-0.03,-0.147,0.082,1.006,0,"0","0","1","all","ms"
"sigma.psi.yr",0.326,0.239,0.437,0.998,0.2,"0","0","1","all","ms"
"mu.p",-2.125,-2.234,-2.003,1.358,-0.5,"0","0","1","all","ms"
"sigma.p.sp",0.353,0.298,0.417,1.001,NA,"0","0","1","all","ms"
"p.yr",-0.062,-0.171,0.058,1.074,0,"0","0","1","all","ms"
"sigma.p.site",1.473,1.427,1.526,1.013,1.5,"0","0","1","all","ms"
"per_chage_bci",-1.13227647228818,-5.65696529634834,3.01635913757457,NA,0,"0","0","1","all","ms"
"mu.psi",0.506,0.394,0.597,1.102,0,"0.5","-0.5","1","all","ms"
"sigma.psi.sp",0.625,0.513,0.769,1.004,0.5,"0.5","-0.5","1","all","ms"
"mu.psi.yr",0.227,0.112,0.344,1.038,0,"0.5","-0.5","1","all","ms"
"sigma.psi.yr",0.309,0.203,0.418,1.024,0.2,"0.5","-0.5","1","all","ms"
"mu.p",-2.161,-2.255,-2.048,1.079,-0.5,"0.5","-0.5","1","all","ms"
"sigma.p.sp",0.298,0.241,0.372,1.019,NA,"0.5","-0.5","1","all","ms"
"p.yr",-0.297,-0.412,-0.185,1.005,0.5,"0.5","-0.5","1","all","ms"
"sigma.p.site",1.55,1.501,1.599,1.004,1.5,"0.5","-0.5","1","all","ms"
"per_chage_bci",8.26674945856487,4.09578503438314,12.4635857771863,NA,0,"0.5","-0.5","1","all","ms"
"mu.psi",0.558,0.394,0.699,1.367,0,"0.5","0","1","all","ms"
"sigma.psi.sp",0.78,0.641,0.94,0.997,0.5,"0.5","0","1","all","ms"
"mu.psi.yr",-0.014,-0.111,0.093,1.06,0,"0.5","0","1","all","ms"
"sigma.psi.yr",0.261,0.174,0.354,1.002,0.2,"0.5","0","1","all","ms"
"mu.p",-2.062,-2.163,-1.956,1.098,-0.5,"0.5","0","1","all","ms"
"sigma.p.sp",0.266,0.212,0.329,1.007,NA,"0.5","0","1","all","ms"
"p.yr",0.243,0.155,0.336,1.111,0.5,"0.5","0","1","all","ms"
"sigma.p.site",1.472,1.429,1.519,0.997,1.5,"0.5","0","1","all","ms"
"per_chage_bci",-0.483185417442435,-3.93032916153591,3.48380333049734,NA,0,"0.5","0","1","all","ms"
"mu.psi",0.587,0.434,0.715,1.076,0,"1","-0.5","1","all","ms"
"sigma.psi.sp",0.551,0.442,0.67,1.015,0.5,"1","-0.5","1","all","ms"
"mu.psi.yr",0.258,0.121,0.387,1.014,0,"1","-0.5","1","all","ms"
"sigma.psi.yr",0.4,0.301,0.51,1.021,0.2,"1","-0.5","1","all","ms"
"mu.p",-2.245,-2.371,-2.15,1.196,-0.5,"1","-0.5","1","all","ms"
"sigma.p.sp",0.322,0.262,0.382,1.013,NA,"1","-0.5","1","all","ms"
"p.yr",-0.031,-0.144,0.09,1.117,1,"1","-0.5","1","all","ms"
"sigma.p.site",1.604,1.546,1.666,1.002,1.5,"1","-0.5","1","all","ms"
"per_chage_bci",8.83133657804957,4.29669956761118,13.2497723417524,NA,0,"1","-0.5","1","all","ms"
"mu.psi",0.472,0.365,0.593,1.028,0,"1","0","1","all","ms"
"sigma.psi.sp",0.654,0.54,0.777,1.01,0.5,"1","0","1","all","ms"
"mu.psi.yr",0.074,-0.021,0.187,1.014,0,"1","0","1","all","ms"
"sigma.psi.yr",0.301,0.217,0.406,0.999,0.2,"1","0","1","all","ms"
"mu.p",-2.148,-2.266,-2.054,1.062,-0.5,"1","0","1","all","ms"
"sigma.p.sp",0.268,0.218,0.328,1.002,NA,"1","0","1","all","ms"
"p.yr",0.596,0.476,0.723,1.188,1,"1","0","1","all","ms"
"sigma.p.site",1.565,1.519,1.614,1.014,1.5,"1","0","1","all","ms"
"per_chage_bci",2.82790166209478,-0.800413855311201,7.19688893320825,NA,0,"1","0","1","all","ms"
"mu.psi",0.361,0.196,0.479,1.064,0,"-0.5","-0.5","10","all","ms"
"sigma.psi.sp",0.66,0.531,0.812,1.001,0.5,"-0.5","-0.5","10","all","ms"
"mu.psi.yr",0.224,0.122,0.342,1.05,0,"-0.5","-0.5","10","all","ms"
"sigma.psi.yr",0.23,0.1,0.366,1.165,0.2,"-0.5","-0.5","10","all","ms"
"mu.p",-2.2,-2.322,-2.083,1.008,-0.5,"-0.5","-0.5","10","all","ms"
"sigma.p.sp",0.35,0.282,0.426,1.003,NA,"-0.5","-0.5","10","all","ms"
"p.yr",-0.94,-1.065,-0.811,1.009,-0.5,"-0.5","-0.5","10","all","ms"
"sigma.p.site",1.575,1.518,1.629,1.004,1.5,"-0.5","-0.5","10","all","ms"
"per_chage_bci",8.98759546646635,4.79193889776392,13.6144790686769,NA,0,"-0.5","-0.5","10","all","ms"
"mu.psi",0.513,0.347,0.745,1.038,0,"-0.5","0","10","all","ms"
"sigma.psi.sp",0.723,0.604,0.868,1.004,0.5,"-0.5","0","10","all","ms"
"mu.psi.yr",-0.008,-0.12,0.095,1.148,0,"-0.5","0","10","all","ms"
"sigma.psi.yr",0.169,0.064,0.289,1.12,0.2,"-0.5","0","10","all","ms"
"mu.p",-2.193,-2.291,-2.085,1.171,-0.5,"-0.5","0","10","all","ms"
"sigma.p.sp",0.333,0.274,0.417,1.014,NA,"-0.5","0","10","all","ms"
"p.yr",-0.336,-0.444,-0.234,1.1,-0.5,"-0.5","0","10","all","ms"
"sigma.p.site",1.483,1.43,1.533,1.007,1.5,"-0.5","0","10","all","ms"
"per_chage_bci",-0.31863226260486,-4.49015216754463,3.55009020523779,NA,0,"-0.5","0","10","all","ms"
"mu.psi",0.602,0.409,0.76,1.599,0,"-1","-0.5","10","all","ms"
"sigma.psi.sp",0.775,0.642,0.935,1.008,0.5,"-1","-0.5","10","all","ms"
"mu.psi.yr",0.374,0.215,0.539,1.016,0,"-1","-0.5","10","all","ms"
"sigma.psi.yr",0.343,0.199,0.48,1.101,0.2,"-1","-0.5","10","all","ms"
"mu.p",-2.232,-2.358,-2.108,1.199,-0.5,"-1","-0.5","10","all","ms"
"sigma.p.sp",0.305,0.248,0.377,1.017,NA,"-1","-0.5","10","all","ms"
"p.yr",-1.194,-1.322,-1.081,1.028,-1,"-1","-0.5","10","all","ms"
"sigma.p.site",1.55,1.496,1.598,1.025,1.5,"-1","-0.5","10","all","ms"
"per_chage_bci",12.4047600713768,7.15153100536122,17.5549042702045,NA,0,"-1","-0.5","10","all","ms"
"mu.psi",0.508,0.373,0.617,1.3,0,"-1","0","10","all","ms"
"sigma.psi.sp",0.665,0.547,0.807,1.003,0.5,"-1","0","10","all","ms"
"mu.psi.yr",0.105,-0.005,0.225,0.996,0,"-1","0","10","all","ms"
"sigma.psi.yr",0.286,0.181,0.419,1.007,0.2,"-1","0","10","all","ms"
"mu.p",-2.123,-2.26,-2.007,1.188,-0.5,"-1","0","10","all","ms"
"sigma.p.sp",0.331,0.266,0.416,0.999,NA,"-1","0","10","all","ms"
"p.yr",-0.693,-0.803,-0.576,1.036,-1,"-1","0","10","all","ms"
"sigma.p.site",1.511,1.458,1.555,1.025,1.5,"-1","0","10","all","ms"
"per_chage_bci",3.88593079350907,-0.17803136280378,8.37401006846829,NA,0,"-1","0","10","all","ms"
"mu.psi",0.525,0.403,0.663,1.206,0,"0","-0.5","10","all","ms"
"sigma.psi.sp",0.544,0.441,0.669,0.999,0.5,"0","-0.5","10","all","ms"
"mu.psi.yr",0.187,0.049,0.333,1.005,0,"0","-0.5","10","all","ms"
"sigma.psi.yr",0.428,0.307,0.589,1.037,0.2,"0","-0.5","10","all","ms"
"mu.p",-2.269,-2.406,-2.146,1.136,-0.5,"0","-0.5","10","all","ms"
"sigma.p.sp",0.306,0.239,0.375,1.007,NA,"0","-0.5","10","all","ms"
"p.yr",-0.639,-0.748,-0.513,0.999,0,"0","-0.5","10","all","ms"
"sigma.p.site",1.606,1.548,1.674,1.008,1.5,"0","-0.5","10","all","ms"
"per_chage_bci",6.73018193740444,1.80834236768481,12.0256563723173,NA,0,"0","-0.5","10","all","ms"
"mu.psi",0.408,0.227,0.584,1.012,0,"0","0","10","all","ms"
"sigma.psi.sp",0.568,0.456,0.713,1.003,0.5,"0","0","10","all","ms"
"mu.psi.yr",0.006,-0.114,0.097,1.022,0,"0","0","10","all","ms"
"sigma.psi.yr",0.203,0.114,0.322,1.166,0.2,"0","0","10","all","ms"
"mu.p",-2.208,-2.336,-2.108,1.08,-0.5,"0","0","10","all","ms"
"sigma.p.sp",0.326,0.262,0.396,0.998,NA,"0","0","10","all","ms"
"p.yr",0.064,-0.042,0.166,1.007,0,"0","0","10","all","ms"
"sigma.p.site",1.445,1.399,1.496,1.01,1.5,"0","0","10","all","ms"
"per_chage_bci",0.269946448488839,-4.23950741763953,3.98719060793239,NA,0,"0","0","10","all","ms"
"mu.psi",0.649,0.52,0.763,1.052,0,"0.5","-0.5","10","all","ms"
"sigma.psi.sp",0.598,0.496,0.747,1.001,0.5,"0.5","-0.5","10","all","ms"
"mu.psi.yr",0.292,0.131,0.453,1.008,0,"0.5","-0.5","10","all","ms"
"sigma.psi.yr",0.415,0.29,0.56,1.035,0.2,"0.5","-0.5","10","all","ms"
"mu.p",-2.237,-2.345,-2.096,1.154,-0.5,"0.5","-0.5","10","all","ms"
"sigma.p.sp",0.326,0.261,0.404,1,NA,"0.5","-0.5","10","all","ms"
"p.yr",-0.252,-0.388,-0.127,1.06,0.5,"0.5","-0.5","10","all","ms"
"sigma.p.site",1.59,1.539,1.641,1.013,1.5,"0.5","-0.5","10","all","ms"
"per_chage_bci",9.52305687486503,4.38786500817434,14.9874432419839,NA,0,"0.5","-0.5","10","all","ms"
"mu.psi",0.512,0.339,0.633,1.485,0,"0.5","0","10","all","ms"
"sigma.psi.sp",0.554,0.454,0.682,1.001,0.5,"0.5","0","10","all","ms"
"mu.psi.yr",0.006,-0.101,0.109,1.017,0,"0.5","0","10","all","ms"
