"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.v.yr","r","case","sp"
"mu.psi",0.374,0.211,0.5,1.232,0,"-0.5","-0.5","1","all","ms"
"sigma.psi.sp",0.619,0.514,0.754,1.002,0.5,"-0.5","-0.5","1","all","ms"
"mu.psi.yr",-0.387,-0.526,-0.251,1.001,-0.5,"-0.5","-0.5","1","all","ms"
"sigma.psi.yr",0.303,0.195,0.427,1.016,0.2,"-0.5","-0.5","1","all","ms"
"mu.p",-2.098,-2.211,-1.979,1.035,-0.5,"-0.5","-0.5","1","all","ms"
"sigma.p.sp",0.234,0.189,0.284,1.008,NA,"-0.5","-0.5","1","all","ms"
"p.yr",-0.999,-1.14,-0.862,1.028,-0.5,"-0.5","-0.5","1","all","ms"
"sigma.p.site",1.515,1.458,1.565,1.011,1.5,"-0.5","-0.5","1","all","ms"
"per_chage_bci",-16.1000914145137,-21.8699680882564,-10.5771876783831,NA,-24.4918662403709,"-0.5","-0.5","1","all","ms"
"mu.psi",0.477,0.28,0.66,1.726,0,"-0.5","0","1","all","ms"
"sigma.psi.sp",0.679,0.565,0.821,1.002,0.5,"-0.5","0","1","all","ms"
"mu.psi.yr",-0.512,-0.633,-0.397,1.109,-0.5,"-0.5","0","1","all","ms"
"sigma.psi.yr",0.269,0.174,0.377,1.001,0.2,"-0.5","0","1","all","ms"
"mu.p",-2.161,-2.256,-2.061,1.495,-0.5,"-0.5","0","1","all","ms"
"sigma.p.sp",0.329,0.269,0.406,1.017,NA,"-0.5","0","1","all","ms"
"p.yr",-0.402,-0.514,-0.304,1.187,-0.5,"-0.5","0","1","all","ms"
"sigma.p.site",1.473,1.422,1.532,1.015,1.5,"-0.5","0","1","all","ms"
"per_chage_bci",-20.3708264654823,-25.2550085414941,-15.3166080227361,NA,-24.4918662403709,"-0.5","0","1","all","ms"
"mu.psi",0.429,0.286,0.551,1.213,0,"-1","-0.5","1","all","ms"
"sigma.psi.sp",0.609,0.495,0.749,1.008,0.5,"-1","-0.5","1","all","ms"
"mu.psi.yr",-1.032,-1.142,-0.912,1.019,-1,"-1","-0.5","1","all","ms"
"sigma.psi.yr",0.259,0.176,0.353,1.014,0.2,"-1","-0.5","1","all","ms"
"mu.p",-2.119,-2.228,-2.025,1.017,-0.5,"-1","-0.5","1","all","ms"
"sigma.p.sp",0.358,0.292,0.436,1.002,NA,"-1","-0.5","1","all","ms"
"p.yr",-1.01,-1.136,-0.896,1.002,-0.5,"-1","-0.5","1","all","ms"
"sigma.p.site",1.551,1.484,1.616,1.002,1.5,"-1","-0.5","1","all","ms"
"per_chage_bci",-41.594065565712,-45.6798603366099,-37.4381446031385,NA,-46.211715726001,"-1","-0.5","1","all","ms"
"mu.psi",0.618,0.457,0.777,1.04,0,"-1","0","1","all","ms"
"sigma.psi.sp",0.552,0.447,0.664,1.011,0.5,"-1","0","1","all","ms"
"mu.psi.yr",-1.178,-1.276,-1.061,1.023,-1,"-1","0","1","all","ms"
"sigma.psi.yr",0.206,0.124,0.3,1.01,0.2,"-1","0","1","all","ms"
"mu.p",-2.197,-2.309,-2.061,1.063,-0.5,"-1","0","1","all","ms"
"sigma.p.sp",0.266,0.214,0.329,1.013,NA,"-1","0","1","all","ms"
