"mean","se","p.yr","mu.v.yr","r","case","actual","mean.actual","se.actual"
-32.9283653449708,1.70742567579559,"-0.5","-0.5","1","all",0,-1.78285377326522,1.34318917329548
-15.2039680884942,2.06969338521321,"-0.5","0","1","all",0,1.56942634958824,1.34165062964341
-45.0030897963003,1.90118644344694,"-1","-0.5","1","all",0,-3.22083509912874,1.44454535970679
-29.8148674384986,1.24581691413464,"-1","0","1","all",0,-0.787411160075169,1.26790718028321
-19.2414641940567,2.04294007115374,"0","-0.5","1","all",0,-0.388688551082358,1.41263237973183
-5.17392983721351,2.14197385222879,"0","0","1","all",0,-1.82309662107652,1.26615123915741
-1.69712502491609,2.23666149166066,"0.5","-0.5","1","all",0,-1.55055015359332,1.20348660607919
8.91470964416977,2.40092630727313,"0.5","0","1","all",0,-0.542472427639597,1.30768988476244
13.6051824421859,2.21820259028857,"1","-0.5","1","all",0,0.200032553068427,1.17564401512629
35.4598376992538,2.6580834997813,"1","0","1","all",0,1.65181911083737,1.28470043757559
-30.7935496646012,1.3525494620982,"-0.5","-0.5","10","all",0,-1.44661508490129,1.42121840623564
-16.8484561619016,1.77863369021461,"-0.5","0","10","all",0,0.188435773670215,1.20500096601123
-34.6894658311523,1.50948398088357,"-1","-0.5","10","all",0,-0.476894724138185,1.5039395199131
-25.4601876077145,2.2750122695485,"-1","0","10","all",0,1.51984852583593,1.39408833843244
-17.3360554971582,2.30158416615196,"0","-0.5","10","all",0,-2.67117442566249,1.29335575006945
5.4454788912659,1.84877306312266,"0","0","10","all",0,1.12200957167004,1.33436798373624
2.54911219804965,2.14829775994714,"0.5","-0.5","10","all",0,0.78115954436537,1.25736568933805
19.1406635826104,2.52634034151958,"0.5","0","10","all",0,1.97259767433208,1.21755933843495
13.205434277212,2.34825619986658,"1","-0.5","10","all",0,1.08420742851262,1.47862106091637
23.0596320013953,2.49224941221166,"1","0","10","all",0,-0.546120901497882,1.24522682002923
-28.2540403028047,1.66451847187817,"-0.5","-0.5","2","all",0,1.3672933847966,1.27187280903916
-15.8549027354476,1.88295442308744,"-0.5","0","2","all",0,-1.30546365929501,1.4903060044415
-42.6306740641514,1.39564248313377,"-1","-0.5","2","all",0,0.370502583202519,1.23899935968666
-32.4596547377194,1.66880600532077,"-1","0","2","all",0,-1.6275574558734,1.20055165728134
-17.6923449112239,2.16586925957502,"0","-0.5","2","all",0,-1.08176771005779,1.36505644122772
