"sp","mean_baseline","mean_current","per_change","p.yr","mu.v.yr","r","case","actual.change"
"1",0.690724637681159,0.527101449275362,-23.6886277801091,"-0.5","-0.5","1","all",4.60154508371598
"10",0.699203187250996,0.459468791500664,-34.286799620133,"-0.5","-0.5","1","all",-21.4195279735135
"11",0.643775510204082,0.425680272108844,-33.8775294552755,"-0.5","-0.5","1","all",-13.785832577245
"12",0.750734693877551,0.341687074829932,-54.486308196959,"-0.5","-0.5","1","all",-33.4927133373897
"13",0.691337719298246,0.478377192982456,-30.8041237113402,"-0.5","-0.5","1","all",4.9850839742599
"14",0.634070434070434,0.572383292383292,-9.72875226039784,"-0.5","-0.5","1","all",5.54727208550455
"15",0.668810198300283,0.532568460812087,-20.3707625622997,"-0.5","-0.5","1","all",12.5790807671164
"16",0.674021739130435,0.482228260869565,-28.4550878890502,"-0.5","-0.5","1","all",14.5667804557435
"17",0.670113438045375,0.546657940663176,-18.4230744189075,"-0.5","-0.5","1","all",-2.12376848523604
"18",0.736282527881041,0.446096654275093,-39.4122993032414,"-0.5","-0.5","1","all",-15.1755715377796
"19",0.694631782945736,0.473837209302326,-31.7858438188768,"-0.5","-0.5","1","all",2.09821991682455
"2",0.644222222222222,0.461904761904762,-28.3003991524171,"-0.5","-0.5","1","all",-19.9170317073521
"20",0.629032258064516,0.515698924731183,-18.017094017094,"-0.5","-0.5","1","all",-15.3627677737925
"21",0.6775249500998,0.428303393213573,-36.7841150129625,"-0.5","-0.5","1","all",-8.2064427242097
"22",0.626781609195402,0.51351724137931,-18.0707867229048,"-0.5","-0.5","1","all",15.7695685285573
"23",0.705528673835125,0.541890681003584,-23.1936700661696,"-0.5","-0.5","1","all",2.55361031788734
"24",0.739505541346974,0.506803069053708,-31.4673060960989,"-0.5","-0.5","1","all",-2.99096980529358
"25",0.691797385620915,0.530675381263617,-23.2903459461162,"-0.5","-0.5","1","all",5.52374071740624
"26",0.649071729957806,0.496139240506329,-23.561723981018,"-0.5","-0.5","1","all",-16.7439641409493
"27",0.721530864197531,0.380691358024691,-47.2383820409281,"-0.5","-0.5","1","all",-2.9521516195366
"28",0.691619937694704,0.409750778816199,-40.7549209495068,"-0.5","-0.5","1","all",11.1815259036819
"29",0.720099206349206,0.458859126984127,-36.278345686496,"-0.5","-0.5","1","all",-13.7306131655285
"3",0.688183183183183,0.48009009009009,-30.2380380948225,"-0.5","-0.5","1","all",-3.1047931493663
"30",0.833333333333333,0.283888888888889,-65.9333333333333,"-0.5","-0.5","1","all",1.1950028891979
"31",0.798027210884354,0.272517006802721,-65.8511635836672,"-0.5","-0.5","1","all",-4.66906089912199
"32",0.681266404199475,0.61252624671916,-10.0900553816518,"-0.5","-0.5","1","all",6.25822029536981
"33",0.654980392156863,0.441450980392157,-32.6008861214226,"-0.5","-0.5","1","all",-1.55935354289509
"34",0.595641025641026,0.568787878787879,-4.50827691464797,"-0.5","-0.5","1","all",23.264052591236
"35",0.586344086021505,0.623118279569893,6.27177700348434,"-0.5","-0.5","1","all",8.44129497196037
"36",0.687261904761905,0.531462585034014,-22.6695701665388,"-0.5","-0.5","1","all",7.08163654010398
"37",0.646382978723404,0.477890070921986,-26.0670397191134,"-0.5","-0.5","1","all",-4.17063019139316
"38",0.704007285974499,0.475154826958106,-32.5071151358344,"-0.5","-0.5","1","all",-3.62591870261148
"39",0.576827485380117,0.538538011695906,-6.63794195919402,"-0.5","-0.5","1","all",15.9750404945927
"4",0.692628571428571,0.47232380952381,-31.8070566234909,"-0.5","-0.5","1","all",-4.50576054647514
"40",0.729674796747967,0.41380487804878,-43.2891364902507,"-0.5","-0.5","1","all",-4.62431554089779
"41",0.684770642201835,0.420030581039755,-38.6611289746338,"-0.5","-0.5","1","all",-6.86271032934988
"42",0.663764172335601,0.460045351473923,-30.691445750205,"-0.5","-0.5","1","all",8.48002090909345
"43",0.695128205128205,0.510940170940171,-26.4969875814583,"-0.5","-0.5","1","all",0.25573372841081
"44",0.770705882352941,0.274470588235294,-64.3871164707678,"-0.5","-0.5","1","all",-15.4376355648396
"45",0.65769696969697,0.451030303030303,-31.4227792112053,"-0.5","-0.5","1","all",21.4423764421849
"46",0.755936073059361,0.4537899543379,-39.9697976442162,"-0.5","-0.5","1","all",4.82125983865996
"47",0.692751937984496,0.408720930232558,-41.0003916522128,"-0.5","-0.5","1","all",-1.43305803796656
"48",0.678142076502732,0.492513661202186,-27.3730862207897,"-0.5","-0.5","1","all",-8.70823194626379
"49",0.710417801998183,0.466821071752952,-34.2892210133347,"-0.5","-0.5","1","all",-12.2788860501888
"5",0.677505910165485,0.515082742316785,-23.973690179179,"-0.5","-0.5","1","all",0.47735054455557
"50",0.728802395209581,0.36439121756487,-50.001369375291,"-0.5","-0.5","1","all",-12.6869997545694
"51",0.690919540229885,0.36,-47.8955248710697,"-0.5","-0.5","1","all",-1.91186774262643
"52",0.693774250440917,0.450176366843034,-35.1119810865089,"-0.5","-0.5","1","all",-5.0214000823094
"53",0.679404761904762,0.325595238095238,-52.0763974066935,"-0.5","-0.5","1","all",-21.0496047115726
"54",0.64080378250591,0.504208037825059,-21.3163137312772,"-0.5","-0.5","1","all",0.980206414577082
"55",0.699506172839506,0.391203703703704,-44.0743028591599,"-0.5","-0.5","1","all",7.91790488769945
"56",0.752073791348601,0.409452926208651,-45.5568149138091,"-0.5","-0.5","1","all",4.08977865056019
"57",0.719817767653758,0.480956719817768,-33.1835443037975,"-0.5","-0.5","1","all",-4.64449500433806
"58",0.65472,0.515853333333333,-21.2100847181492,"-0.5","-0.5","1","all",9.1911034576498
"59",0.697770114942529,0.393103448275862,-43.662899878101,"-0.5","-0.5","1","all",-7.73278508573549
