"sp","mean_baseline","mean_current","per_change","p.yr","mu.psi","r","case","actual.change"
"1",0.693012820512821,0.396794871794872,-42.7435019887152,"-0.5","0","1","all",-18.2282230037814
"10",0.675974025974026,0.475223665223665,-29.6979400149429,"-0.5","0","1","all",7.88977982969463
"11",0.695860215053763,0.660241935483871,-5.11859692497874,"-0.5","0","1","all",8.32832902899333
"12",0.630338983050847,0.513926553672316,-18.4682262256879,"-0.5","0","1","all",3.5337647181633
"13",0.65137741046832,0.602727272727273,-7.46880947346161,"-0.5","0","1","all",-3.82389084218477
"14",0.714456928838951,0.566733250104037,-20.6763588919177,"-0.5","0","1","all",-7.35546610301554
"15",0.633183229813665,0.64184265010352,1.36760101691314,"-0.5","0","1","all",7.53991198420427
"16",0.686893939393939,0.52145202020202,-24.0855115620749,"-0.5","0","1","all",-12.8727005239419
"17",0.671162464985994,0.543718487394958,-18.9885436447487,"-0.5","0","1","all",-8.58952187549673
"18",0.61396186440678,0.63191384180791,2.92395642821814,"-0.5","0","1","all",1.4515459762668
"19",0.583518518518519,0.664084967320261,13.8070080459985,"-0.5","0","1","all",24.8081427247063
"2",0.638606557377049,0.633306010928962,-0.830017541607836,"-0.5","0","1","all",20.5919237599766
"20",0.6206220657277,0.58618544600939,-5.54872628931292,"-0.5","0","1","all",0.399670084345106
"21",0.624117032392895,0.555569487983281,-10.983123493169,"-0.5","0","1","all",-7.89102259663271
"22",0.695412541254125,0.480181518151815,-30.9501210194106,"-0.5","0","1","all",-4.95185178653055
"23",0.693547892720306,0.486498084291188,-29.8537145887656,"-0.5","0","1","all",-4.03993130492523
"24",0.724297769740808,0.516582278481013,-28.6781900949559,"-0.5","0","1","all",-1.9276332369765
"25",0.604082633053221,0.589985994397759,-2.33356131829405,"-0.5","0","1","all",14.4082956708948
"26",0.557781862745098,0.607916666666667,8.98824563330771,"-0.5","0","1","all",9.09730979979487
"27",0.67631874298541,0.52050505050505,-23.0384998340524,"-0.5","0","1","all",-11.4032414781095
"28",0.60168253968254,0.659873015873016,9.67129214372394,"-0.5","0","1","all",7.02200950981776
"29",0.645919661733615,0.547766032417195,-15.1959500741905,"-0.5","0","1","all",11.1991216552929
"3",0.630814536340852,0.48,-23.907904408113,"-0.5","0","1","all",-11.2803523073827
"30",0.923076923076923,0.154102564102564,-83.3055555555556,"-0.5","0","1","all",-3.46263084723642
"31",0.538018867924528,0.651509433962264,21.0941609679116,"-0.5","0","1","all",20.3125380629257
"32",0.595979216626699,0.53779376498801,-9.76300012071301,"-0.5","0","1","all",7.29230533065406
"33",0.594290976058932,0.536169429097606,-9.77998140687946,"-0.5","0","1","all",-2.3337078695708
"34",0.603830845771144,0.5993864013267,-0.736041306198681,"-0.5","0","1","all",5.1126404563471
"35",0.667666666666667,0.617666666666667,-7.4887668497254,"-0.5","0","1","all",-14.0990667318455
"36",0.554127725856698,0.55619937694704,0.373858046380887,"-0.5","0","1","all",11.32132894807
"37",0.5726,0.537844444444444,-6.06977917491365,"-0.5","0","1","all",3.63171745108095
"38",0.672724358974359,0.469439102564103,-30.2182095383296,"-0.5","0","1","all",-8.97671263054022
"39",0.616908859145953,0.604321223709369,-2.04043680844689,"-0.5","0","1","all",16.5921367579962
"4",0.667748344370861,0.602008830022075,-9.84495355218355,"-0.5","0","1","all",-1.15038039884514
"40",0.676397849462366,0.451599462365591,-33.234639535808,"-0.5","0","1","all",-21.9246651639372
"41",0.5972288202692,0.588566904196358,-1.4503513191038,"-0.5","0","1","all",15.4628062298492
"42",0.635756218905473,0.652990049751244,2.71076087551942,"-0.5","0","1","all",4.35147881551307
"43",0.645087719298246,0.503552631578947,-21.940440576557,"-0.5","0","1","all",-10.6329109893792
"44",0.605313531353135,0.580082508250825,-4.16825691074641,"-0.5","0","1","all",2.90678429263188
"45",0.753226666666667,0.55424,-26.417899879629,"-0.5","0","1","all",-5.72829063512056
"46",0.635528455284553,0.572943089430894,-9.84776768581296,"-0.5","0","1","all",-9.88610797041546
"47",0.636144578313253,0.467751004016064,-26.4709595959596,"-0.5","0","1","all",-7.58503457111183
"48",0.601013745704467,0.510996563573883,-14.9775579633494,"-0.5","0","1","all",1.0308192029471
"49",0.669709962168979,0.639419924337957,-4.52285907961136,"-0.5","0","1","all",8.96669925207993
"5",0.640835629017447,0.490707070707071,-23.4269992978635,"-0.5","0","1","all",-5.21565960621335
"50",0.616101882613511,0.654163898117387,6.17787683790488,"-0.5","0","1","all",9.92556649893825
"51",0.698759689922481,0.492480620155039,-29.5207455069891,"-0.5","0","1","all",1.32617377667605
"52",0.524969418960245,0.609556574923547,16.1127777939592,"-0.5","0","1","all",16.6350239743037
"53",0.768943089430894,0.502235772357724,-34.6849228166631,"-0.5","0","1","all",5.4790610668333
"54",0.550750750750751,0.559399399399399,1.57033805888768,"-0.5","0","1","all",-9.51707022168785
"55",0.618588235294118,0.592862745098039,-4.15874223405604,"-0.5","0","1","all",-1.1342160286776
"56",0.660416666666667,0.632074275362319,-4.29159237415992,"-0.5","0","1","all",12.551860077451
"57",0.623406432748538,0.537105263157895,-13.8434839708262,"-0.5","0","1","all",4.54495176690479
"58",0.5926614481409,0.61399217221135,3.59914148918607,"-0.5","0","1","all",12.9400709939144
"59",0.59158836689038,0.49910514541387,-15.633035849342,"-0.5","0","1","all",-14.2542763005869
"6",0.652682682682683,0.545585585585586,-16.4087541984265,"-0.5","0","1","all",-1.4889268495961
"60",0.592971619365609,0.638553144129104,7.68696566157079,"-0.5","0","1","all",21.5040401454707
"61",0.536992753623188,0.574891304347826,7.05755347142567,"-0.5","0","1","all",15.5382026179125
"62",0.650687285223368,0.548453608247423,-15.7116451016636,"-0.5","0","1","all",-7.09980037272744
"63",0.677519379844961,0.563720930232558,-16.7963386727689,"-0.5","0","1","all",0.858613332857844
"64",0.609846153846154,0.56048717948718,-8.09367642112344,"-0.5","0","1","all",1.53452832558362
"65",0.559599427753934,0.556995708154506,-0.465282748747332,"-0.5","0","1","all",-8.58030948660898
"66",0.573701923076923,0.566153846153846,-1.31567920891645,"-0.5","0","1","all",-1.87469620683072
"7",0.604392884764114,0.488213457076566,-19.2225008957363,"-0.5","0","1","all",-18.7350649338482
"8",0.619784511784512,0.585198653198653,-5.58030378756601,"-0.5","0","1","all",14.4378463035169
"9",0.582558139534884,0.68,16.7265469061876,"-0.5","0","1","all",19.0985035239715
