"sp","mean_baseline","mean_current","per_change","mu.psi.yr","mu.v.yr","r","case","actual.change"
"1",0.795770308123249,0.28187675070028,-64.5781266500053,"-0.5","-0.5","1","all",-19.0870874551261
"10",0.758782608695652,0.362623188405797,-52.2098708839483,"-0.5","-0.5","1","all",-42.5110967947075
"11",0.729147286821705,0.349767441860465,-52.0306187539868,"-0.5","-0.5","1","all",-40.6327334592696
"12",0.842519201228879,0.198725038402458,-76.412995915986,"-0.5","-0.5","1","all",-55.7483941432962
"13",0.748333333333333,0.389357142857143,-47.9700922685333,"-0.5","-0.5","1","all",-14.3247630199483
"14",0.68707097933513,0.478975741239892,-30.2872984530083,"-0.5","-0.5","1","all",-22.52929989373
"15",0.7204,0.434266666666667,-39.7186748102906,"-0.5","-0.5","1","all",-10.9146200526156
"16",0.731646825396825,0.383015873015873,-47.6501694915254,"-0.5","-0.5","1","all",-10.1240776900529
"17",0.731546589817483,0.455734870317003,-37.7025500958584,"-0.5","-0.5","1","all",-28.598664222903
"18",0.809272976680384,0.325610425240055,-59.765068818225,"-0.5","-0.5","1","all",-40.17237474482
"19",0.749329140461216,0.331949685534591,-55.7004168648407,"-0.5","-0.5","1","all",-22.2816214044913
"2",0.749185185185185,0.338518518518518,-54.815107771406,"-0.5","-0.5","1","all",-43.9913309626882
"20",0.747307692307692,0.425982905982906,-42.9976554011551,"-0.5","-0.5","1","all",-42.4109968810762
"21",0.725849462365591,0.359290322580645,-50.5007110689737,"-0.5","-0.5","1","all",-32.5925919626527
"22",0.690203562340967,0.426055979643766,-38.2709677419355,"-0.5","-0.5","1","all",-12.8453693489989
"23",0.762834799608993,0.404907135874878,-46.9207309259591,"-0.5","-0.5","1","all",-20.5327563965909
"24",0.767706666666667,0.45336,-40.9461947271527,"-0.5","-0.5","1","all",-21.5146430424768
"25",0.736783625730994,0.41574269005848,-43.5732994682118,"-0.5","-0.5","1","all",-20.1420395606087
"26",0.718450704225352,0.418380281690141,-41.7663203293472,"-0.5","-0.5","1","all",-39.5518886587001
"27",0.806361111111111,0.307861111111111,-61.8209376830066,"-0.5","-0.5","1","all",-28.9841314565952
"28",0.710384615384615,0.396891025641026,-44.130120916802,"-0.5","-0.5","1","all",-14.7362386109616
"29",0.780304017372421,0.371194353963084,-52.4295216096624,"-0.5","-0.5","1","all",-35.7001438781772
"3",0.745435139573071,0.43256157635468,-41.971936471573,"-0.5","-0.5","1","all",-24.291944754352
"30",1,0.708888888888889,-29.1111111111111,"-0.5","-0.5","1","all",-27.602800096494
"31",0.712666666666667,0.496242424242424,-30.3682285908666,"-0.5","-0.5","1","all",-25.7761972014669
"32",0.743840579710145,0.476717391304348,-35.9113492450073,"-0.5","-0.5","1","all",-16.4057311025745
"33",0.694625,0.369375,-46.8238258052906,"-0.5","-0.5","1","all",-34.3210421542468
"34",0.636666666666667,0.489273182957393,-23.1508089595717,"-0.5","-0.5","1","all",3.08198508974519
"35",0.7232,0.525066666666667,-27.3967551622419,"-0.5","-0.5","1","all",-9.96610453528842
"36",0.726828828828829,0.415693693693694,-42.8072089045341,"-0.5","-0.5","1","all",-15.2103979549538
"37",0.699364161849711,0.425992292870906,-39.088629914318,"-0.5","-0.5","1","all",-28.5594746646482
"38",0.762202380952381,0.407142857142857,-46.583365872706,"-0.5","-0.5","1","all",-19.4318565326025
"39",0.663299319727891,0.428146258503401,-35.452028101123,"-0.5","-0.5","1","all",-19.9839149810339
"4",0.736056910569106,0.393109756097561,-46.5924780471641,"-0.5","-0.5","1","all",-24.3527040521512
"40",0.783333333333333,0.350140350877193,-55.3012318029115,"-0.5","-0.5","1","all",-28.4866176864651
"41",0.743466666666667,0.337133333333333,-54.6538737446198,"-0.5","-0.5","1","all",-34.2542236896858
"42",0.734924242424242,0.367790404040404,-49.9553310655259,"-0.5","-0.5","1","all",-24.9594539449877
"43",0.713947368421053,0.41,-42.5727976409878,"-0.5","-0.5","1","all",-30.0207863582203
"44",0.859342105263158,0.165877192982456,-80.6971877711428,"-0.5","-0.5","1","all",-43.0866411865354
"45",0.708954248366013,0.441111111111111,-37.7800313450724,"-0.5","-0.5","1","all",-4.60569606936381
"46",0.770699300699301,0.409300699300699,-46.8922965248163,"-0.5","-0.5","1","all",-16.308715866978
"47",0.783487858719647,0.314370860927152,-59.8754648934971,"-0.5","-0.5","1","all",-21.9379184650273
"48",0.697231638418079,0.399378531073446,-42.719390649056,"-0.5","-0.5","1","all",-28.8402487272554
"49",0.76763184079602,0.366885572139304,-52.2055297030345,"-0.5","-0.5","1","all",-36.0615964897341
"5",0.726487179487179,0.419358974358974,-42.2757914798998,"-0.5","-0.5","1","all",-26.1553123141492
"50",0.777094017094017,0.309636752136752,-60.1545314562252,"-0.5","-0.5","1","all",-35.0462300377497
"51",0.715833333333333,0.358333333333333,-49.941792782305,"-0.5","-0.5","1","all",-27.299245650011
"52",0.745657142857143,0.360971428571429,-51.5901601655299,"-0.5","-0.5","1","all",-28.8285395903147
"53",0.863636363636364,0.139545454545455,-83.8421052631579,"-0.5","-0.5","1","all",-47.371570926217
"54",0.729566395663957,0.390677506775068,-46.4507261988782,"-0.5","-0.5","1","all",-27.9522182931607
"55",0.769965986394558,0.295340136054422,-61.6424437867209,"-0.5","-0.5","1","all",-24.3019360334439
"56",0.776561264822134,0.370395256916996,-52.3031506082354,"-0.5","-0.5","1","all",-9.8818424008195
"57",0.7816,0.3717,-52.4437052200614,"-0.5","-0.5","1","all",-29.5356377047022
"58",0.696011396011396,0.459558404558405,-33.9725747032337,"-0.5","-0.5","1","all",-13.2429342108665
"59",0.7531592039801,0.309850746268657,-58.8598606202728,"-0.5","-0.5","1","all",-35.1037990768188
"6",0.759357021996616,0.308189509306261,-59.41441240697,"-0.5","-0.5","1","all",-31.9648741002777
"60",0.78722480620155,0.30768992248062,-60.9146053253506,"-0.5","-0.5","1","all",-43.1732599060942
"61",0.780358126721763,0.330413223140496,-57.6587707840576,"-0.5","-0.5","1","all",-39.4716326558334
"62",0.765,0.301428571428571,-60.5975723622782,"-0.5","-0.5","1","all",-38.701542995651
"63",0.759632034632035,0.442489177489177,-41.7495369710785,"-0.5","-0.5","1","all",-18.8708060411297
"64",0.672136752136752,0.364786324786325,-45.7273652085453,"-0.5","-0.5","1","all",-28.1999414790816
"65",0.724924731182796,0.369010752688172,-49.0966804117595,"-0.5","-0.5","1","all",-32.693191304895
"66",0.810125313283208,0.339699248120301,-58.068308377676,"-0.5","-0.5","1","all",-16.8412800728962
"7",0.736966551326413,0.479250288350634,-34.9698724469833,"-0.5","-0.5","1","all",-13.5686616105448
"8",0.775530785562633,0.356794055201698,-53.9935664909999,"-0.5","-0.5","1","all",-29.0643321743991
"9",0.768765432098765,0.419188712522046,-45.4724815893918,"-0.5","-0.5","1","all",-13.859729943659
"1",0.784270833333333,0.278072916666667,-64.5437641120999,"-0.5","0","1","all",-45.2762276731144
"10",0.723816425120773,0.390917874396135,-45.992124407662,"-0.5","0","1","all",-19.372017003195
"11",0.701338481338481,0.557052767052767,-20.5729071090395,"-0.5","0","1","all",-3.34572218900527
"12",0.678935185185185,0.418888888888889,-38.3020797817934,"-0.5","0","1","all",-25.71154075606
"13",0.764305555555556,0.386759259259259,-49.3972984432734,"-0.5","0","1","all",-25.3802919553611
"14",0.74147412755716,0.509687123947052,-31.2602955377212,"-0.5","0","1","all",-27.4906294521895
"15",0.670733944954128,0.582737003058104,-13.1195002963571,"-0.5","0","1","all",-11.5742612515973
"16",0.773806818181818,0.372518939393939,-51.8589225836454,"-0.5","0","1","all",-37.7696391770254
"17",0.723055555555556,0.436765873015873,-39.594424016245,"-0.5","0","1","all",-31.9067053620661
"18",0.678799102132435,0.49026936026936,-27.7740116730874,"-0.5","0","1","all",-19.5903965551117
"19",0.607464114832536,0.580047846889952,-4.5132325141777,"-0.5","0","1","all",4.51770655782237
"2",0.691829268292683,0.452439024390244,-34.6025030847876,"-0.5","0","1","all",3.15783664310093
"20",0.669225225225225,0.461765765765766,-30.9999461526035,"-0.5","0","1","all",-24.6320260004176
"21",0.703534338358459,0.425477386934673,-39.5228685031309,"-0.5","0","1","all",-32.3243529301541
"22",0.70734335839599,0.395338345864662,-44.1094143074797,"-0.5","0","1","all",-28.3260258791442
"23",0.699869047619048,0.434261904761905,-37.9509772236303,"-0.5","0","1","all",-26.4918393941648
"24",0.750436607892527,0.446893366918556,-40.4488850599147,"-0.5","0","1","all",-22.076803902922
"25",0.649385964912281,0.490010964912281,-24.5424152370661,"-0.5","0","1","all",-15.443400488952
"26",0.693917748917749,0.469393939393939,-32.3559686827412,"-0.5","0","1","all",-14.6937731825027
"27",0.748820512820513,0.382923076923077,-48.8631694288454,"-0.5","0","1","all",-35.4801223722381
"28",0.577738927738928,0.56037296037296,-3.00585031268913,"-0.5","0","1","all",-11.1753503617198
"29",0.689866666666667,0.449377777777778,-34.8601984280376,"-0.5","0","1","all",-11.8682234947644
"3",0.731786492374728,0.362244008714597,-50.4986751615112,"-0.5","0","1","all",-39.8281765720949
"30",0.833333333333333,0.166666666666667,-80,"-0.5","0","1","all",-32.6122617133433
"31",0.557657657657658,0.639594594594595,14.6930533117932,"-0.5","0","1","all",-4.84713579087386
"32",0.722770562770563,0.407474747474747,-43.623223127296,"-0.5","0","1","all",-23.2667153484221
"33",0.685368421052632,0.374982456140351,-45.287462243383,"-0.5","0","1","all",-30.0626324724683
"34",0.688397932816537,0.423229974160207,-38.5195750910251,"-0.5","0","1","all",-18.7681738011643
"35",0.732792792792793,0.35972972972973,-50.9097614949594,"-0.5","0","1","all",-34.0553288877496
"36",0.642573529411765,0.419240196078431,-34.7560743029332,"-0.5","0","1","all",-20.7847351489289
"37",0.622068965517241,0.481877394636015,-22.5363389997536,"-0.5","0","1","all",-23.6441387467746
"38",0.648765432098765,0.448641975308642,-30.8468125594672,"-0.5","0","1","all",-27.6307034390653
"39",0.681166180758017,0.455986394557823,-33.0579809393369,"-0.5","0","1","all",-12.4948133670474
"4",0.695614886731392,0.479854368932039,-31.0172369675964,"-0.5","0","1","all",-19.0254980692452
"40",0.74977366255144,0.324382716049383,-56.7359148165427,"-0.5","0","1","all",-46.3024937673704
"41",0.653648293963255,0.524501312335958,-19.7578702216511,"-0.5","0","1","all",-10.500208237489
"42",0.726433408577878,0.462355154251317,-36.3527132987373,"-0.5","0","1","all",-16.9570840425985
"43",0.669012345679012,0.439259259259259,-34.3421295441963,"-0.5","0","1","all",-36.0025119585891
"44",0.674970760233918,0.432748538011696,-35.8863281926876,"-0.5","0","1","all",-21.8865290286864
"45",0.66953488372093,0.542674418604651,-18.947551233067,"-0.5","0","1","all",-24.4110540751293
"46",0.688543209876543,0.466,-32.320877859858,"-0.5","0","1","all",-32.5114076947351
"47",0.757898550724638,0.291811594202899,-61.4972750740989,"-0.5","0","1","all",-32.8958878900144
"48",0.680853333333333,0.395786666666667,-41.869027103243,"-0.5","0","1","all",-26.2077620042261
"49",0.704778597785978,0.55979704797048,-20.5712191418624,"-0.5","0","1","all",-8.93007065068641
"5",0.701144927536232,0.380913043478261,-45.672709233345,"-0.5","0","1","all",-32.2470932932334
"50",0.626873156342183,0.555796460176991,-11.3382899628253,"-0.5","0","1","all",-13.4434399753815
"51",0.739298245614035,0.594912280701754,-19.5301376364499,"-0.5","0","1","all",-25.6562189610019
"52",0.606521739130435,0.485913043478261,-19.8853046594982,"-0.5","0","1","all",-16.7327964560821
"53",0.777368421052632,0.392748538011696,-49.4771684345144,"-0.5","0","1","all",-12.7033654646491
"54",0.596875,0.461145833333333,-22.739965095986,"-0.5","0","1","all",-39.3887024135719
"55",0.678895238095238,0.472152380952381,-30.4528365411593,"-0.5","0","1","all",-25.6756190233878
"56",0.692377450980392,0.510281862745098,-26.3000460193281,"-0.5","0","1","all",-7.39102162803901
"57",0.739300254452926,0.39,-47.2474143420124,"-0.5","0","1","all",-18.3563621545165
"58",0.689148494288681,0.473935617860852,-31.2288103669103,"-0.5","0","1","all",-13.3660564257812
"59",0.725485232067511,0.306962025316456,-57.688728626265,"-0.5","0","1","all",-43.1788920984205
"6",0.74113475177305,0.394822695035461,-46.7272727272727,"-0.5","0","1","all",-24.5163293586475
"60",0.713083333333333,0.4315,-39.4881383662499,"-0.5","0","1","all",-3.01820440792895
"61",0.654003115264797,0.408909657320872,-37.4758853930979,"-0.5","0","1","all",-18.7043944660987
"62",0.687166666666667,0.496722222222222,-27.7144474088447,"-0.5","0","1","all",-26.9943879143431
"63",0.615365853658537,0.539390243902439,-12.3464130003963,"-0.5","0","1","all",-19.4148541922759
"64",0.669883720930233,0.47093023255814,-29.6997049123416,"-0.5","0","1","all",-18.3227455257311
"65",0.614071428571429,0.494428571428571,-19.4835407700361,"-0.5","0","1","all",-34.923803643202
"66",0.648260869565217,0.435772946859903,-32.7781503837842,"-0.5","0","1","all",-28.4371093801963
"7",0.708622047244094,0.380997375328084,-46.234050039817,"-0.5","0","1","all",-45.8467568037382
"8",0.694994499449945,0.424081408140814,-38.9806094182825,"-0.5","0","1","all",-14.2542002778407
"9",0.627227722772277,0.563217821782178,-10.2052091554854,"-0.5","0","1","all",-6.28522904007482
"1",0.788444444444444,0.320543209876543,-59.3448578228736,"-1","-0.5","1","all",-41.5884131778168
"10",0.856556169429098,0.298471454880295,-65.1544795854744,"-1","-0.5","1","all",-42.1637488745544
"11",0.808710691823899,0.230503144654088,-71.4974530466229,"-1","-0.5","1","all",-53.5646695641046
"12",0.838872901678657,0.287553956834532,-65.7213916125897,"-1","-0.5","1","all",-48.6532083587042
"13",0.785438596491228,0.271432748538012,-65.4418881691609,"-1","-0.5","1","all",-44.0936631892965
"14",0.823677248677249,0.313289241622575,-61.964562924897,"-1","-0.5","1","all",-56.7622997581323
"15",0.838855967078189,0.357539094650206,-57.3777729810343,"-1","-0.5","1","all",-43.8847796200975
"16",0.770447427293065,0.345279642058166,-55.1845291675136,"-1","-0.5","1","all",-45.1191454788291
"17",0.848269581056466,0.20391621129326,-75.9609190465965,"-1","-0.5","1","all",-58.4935506890644
"18",0.780410256410256,0.371192307692308,-52.4362596924694,"-1","-0.5","1","all",-40.7382298590389
"19",0.802786458333333,0.25625,-68.0799299315535,"-1","-0.5","1","all",-61.35431375893
"2",0.788064516129032,0.344336917562724,-56.3059989994087,"-1","-0.5","1","all",-48.9247577479838
"20",0.786140350877193,0.275263157894737,-64.985494309306,"-1","-0.5","1","all",-43.8850159497987
"21",0.781311475409836,0.310965391621129,-60.1995617102625,"-1","-0.5","1","all",-41.5634451362187
"22",0.848203463203463,0.207294372294372,-75.5607727052339,"-1","-0.5","1","all",-54.4030949940154
"23",0.75900406504065,0.296138211382114,-60.983316819752,"-1","-0.5","1","all",-50.6161921803662
"24",0.781218487394958,0.322535014005602,-58.7138528837018,"-1","-0.5","1","all",-52.424087310994
"25",0.830216216216216,0.235873873873874,-71.5888621221,"-1","-0.5","1","all",-59.7998785724295
"26",0.82886524822695,0.228297872340426,-72.4565756823821,"-1","-0.5","1","all",-49.8338649542716
"27",0.814829396325459,0.258005249343832,-68.3362860363988,"-1","-0.5","1","all",-49.1839709994497
"28",0.77729797979798,0.41459595959596,-46.6619018225529,"-1","-0.5","1","all",-47.3374618106341
"29",0.898902777777778,0.163638888888889,-81.7957077301031,"-1","-0.5","1","all",-71.8642218286358
"3",0.843201320132013,0.222607260726073,-73.5997495009589,"-1","-0.5","1","all",-56.6128381071058
"30",0.759166666666667,0.250277777777778,-67.0325649469448,"-1","-0.5","1","all",-48.6101451735298
"31",0.651754385964912,0.352690058479532,-45.8860475549574,"-1","-0.5","1","all",-49.183288847699
"32",0.842671081677704,0.196556291390728,-76.6746129463233,"-1","-0.5","1","all",-63.4933374761455
"33",0.720402298850575,0.350344827586207,-51.3681691264459,"-1","-0.5","1","all",-36.2564545379993
"34",0.879348958333333,0.219114583333333,-75.0821808274351,"-1","-0.5","1","all",-58.5149056805994
"35",0.842982456140351,0.160350877192982,-80.9781477627471,"-1","-0.5","1","all",-43.9268539200935
"36",0.823624595469256,0.251067961165049,-69.516699410609,"-1","-0.5","1","all",-47.0913681936173
"37",0.777174796747968,0.327926829268293,-57.8052671496195,"-1","-0.5","1","all",-47.5469770852424
"38",0.912450980392157,0.0912745098039216,-89.9967766197486,"-1","-0.5","1","all",-67.7867386329527
"39",0.789494252873563,0.316057471264368,-59.9670966426928,"-1","-0.5","1","all",-36.8225816877464
"4",0.754429824561404,0.294912280701754,-60.9092494622406,"-1","-0.5","1","all",-40.597085049808
"40",0.807633333333333,0.275233333333333,-65.9210037558298,"-1","-0.5","1","all",-53.6834964200225
"41",0.761331269349845,0.391609907120743,-48.5624822089382,"-1","-0.5","1","all",-37.1032913511415
"42",0.83992576095026,0.312984409799555,-62.7366578868285,"-1","-0.5","1","all",-47.0085316222634
"43",0.861520467836257,0.213567251461988,-75.2104262829215,"-1","-0.5","1","all",-53.3617539024615
"44",0.830743243243243,0.272837837837838,-67.157381049207,"-1","-0.5","1","all",-44.666472880102
"45",0.823232323232323,0.295757575757576,-64.0736196319018,"-1","-0.5","1","all",-56.0648382672341
"46",0.710272727272727,0.38730303030303,-45.4712231750501,"-1","-0.5","1","all",-44.6183339692425
"47",0.864945355191257,0.213661202185792,-75.2977224626465,"-1","-0.5","1","all",-60.1370699621324
"48",0.790064102564103,0.215384615384615,-72.7383367139959,"-1","-0.5","1","all",-63.6717370187939
"49",0.832126436781609,0.272289272030651,-67.2778967239911,"-1","-0.5","1","all",-55.6324937875557
"5",0.808008130081301,0.344471544715447,-57.367812044071,"-1","-0.5","1","all",-43.689142165376
"50",0.782937062937063,0.302680652680653,-61.3403596522568,"-1","-0.5","1","all",-50.9855332782093
"51",0.933777777777778,0.226222222222222,-75.7734412184674,"-1","-0.5","1","all",-45.5150066850468
"52",0.782914572864322,0.298458961474037,-61.8784766795036,"-1","-0.5","1","all",-33.1951090396819
"53",0.804969696969697,0.295454545454545,-63.2961903327812,"-1","-0.5","1","all",-33.3587183980987
"54",0.733423423423423,0.413423423423423,-43.6310035622159,"-1","-0.5","1","all",-26.4506938046007
"55",0.825672782874618,0.333746177370031,-59.5788810903906,"-1","-0.5","1","all",-42.6269112014809
"56",0.747388316151203,0.318969072164948,-57.3221757322176,"-1","-0.5","1","all",-45.4246679931068
"57",0.789634230503796,0.402153209109731,-49.070950374941,"-1","-0.5","1","all",-29.9101777320794
"58",0.82024011299435,0.254435028248588,-68.9804211940144,"-1","-0.5","1","all",-58.1505260206628
"59",0.871616161616162,0.176641414141414,-79.7340363889211,"-1","-0.5","1","all",-62.8950986119257
"6",0.805022222222222,0.265266666666667,-67.0485286810578,"-1","-0.5","1","all",-63.7791668327252
"60",0.811274074074074,0.33382962962963,-58.8511897153083,"-1","-0.5","1","all",-34.9585691877827
"61",0.829014336917563,0.26989247311828,-67.4441730257896,"-1","-0.5","1","all",-56.507836290307
"62",0.732878787878788,0.28530303030303,-61.0709117221418,"-1","-0.5","1","all",-48.6725946519559
"63",0.824823848238482,0.264037940379404,-67.9885661716389,"-1","-0.5","1","all",-41.2265239908269
"64",0.780274509803922,0.307254901960784,-60.6222043524149,"-1","-0.5","1","all",-47.9937248749571
"65",0.722597402597403,0.350692640692641,-51.4677689911335,"-1","-0.5","1","all",-31.7718698112755
"66",0.803722943722944,0.349675324675325,-56.493051815146,"-1","-0.5","1","all",-51.5227326402371
"7",0.831333333333333,0.390234666666667,-53.0591820368885,"-1","-0.5","1","all",-39.9576960891625
"8",0.77561038961039,0.399558441558442,-48.4846455242624,"-1","-0.5","1","all",-35.1112106192485
"9",0.779620596205962,0.298672086720867,-61.6900723025584,"-1","-0.5","1","all",-47.8434241028987
"1",0.766031746031746,0.256931216931217,-66.459455725929,"-1","0","1","all",-45.4818277053261
"10",0.717170542635659,0.36765503875969,-48.7353402151003,"-1","0","1","all",-38.1917592038384
